,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
246,350,해운대구,560,송정동,좌동2배수지,배수지,7.13,0.14,0.32,230.33,29.40,정상
247,350,해운대구,554,좌4동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
249,350,해운대구,553,좌3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
251,350,해운대구,553,좌3동,좌동2배수지,배수지,7.13,0.14,0.32,230.33,29.40,정상
252,350,해운대구,553,좌3동,좌3동,블록,7.21,0.18,0.22,283.59,31.10,정상
253,350,해운대구,552,좌2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
255,350,해운대구,551,좌1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
257,350,해운대구,551,좌1동,좌1동,블록,7.10,0.19,0.22,271.90,30.02,정상
258,350,해운대구,540,중2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
261,350,해운대구,540,중2동,중2동,블록,7.11,0.21,0.25,233.26,30.50,정상
262,350,해운대구,530,중1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
264,350,해운대구,530,중1동,중1동,블록,6.81,0.18,0.31,-,-,정상
265,350,해운대구,520,우2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
267,350,해운대구,510,우1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
269,350,해운대구,510,우1동,우1동,블록,6.81,0.18,0.31,-,-,정상
270,320,북구,573,만덕3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
271,320,북구,573,만덕3동,만덕1배수지,배수지,7.77,0.14,0.31,285.75,28.05,정상
272,320,북구,573,만덕3동,만덕3동,블록,7.28,0.12,0.28,258.01,29.12,정상
273,320,북구,572,만덕2동,만덕2배수지,배수지,7.25,0.14,0.30,226.96,27.20,정상
274,320,북구,572,만덕2동,만덕5배수지,배수지,7.04,0.17,0.10,-,-,정상
275,320,북구,572,만덕2동,만덕2동,블록,7.32,0.18,0.65,249.68,28.77,정상
276,320,북구,572,만덕2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
278,320,북구,571,만덕1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
280,320,북구,571,만덕1동,만덕1배수지,배수지,7.77,0.14,0.31,285.75,28.05,정상
281,320,북구,571,만덕1동,만덕2배수지,배수지,7.25,0.14,0.30,226.96,27.20,정상
282,320,북구,561,덕천3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
283,320,북구,560,덕천2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
284,320,북구,560,덕천2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
285,320,북구,560,덕천2동,만덕1배수지,배수지,7.77,0.14,0.31,285.75,28.05,정상
286,320,북구,550,덕천1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
287,320,북구,550,덕천1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
288,320,북구,550,덕천1동,만덕1배수지,배수지,7.77,0.14,0.31,285.75,28.05,정상
289,320,북구,543,화명3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
290,320,북구,543,화명3동,금곡배수지,배수지,7.77,0.16,0.34,222.51,28.20,정상
291,320,북구,543,화명3동,화명3동,블록,7.39,0.16,0.34,196.38,29.34,정상
292,320,북구,542,화명2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
293,320,북구,542,화명2동,금곡배수지,배수지,7.77,0.16,0.34,222.51,28.20,정상
294,320,북구,542,화명2동,화명2동,블록,7.39,0.16,0.34,196.38,29.34,정상
295,320,북구,541,화명1동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
296,320,북구,530,금곡동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
297,320,북구,530,금곡동,금곡배수지,배수지,7.77,0.16,0.34,222.51,28.20,정상
298,320,북구,530,금곡동,금곡동,블록,7.39,0.16,0.34,196.38,29.34,정상
299,320,북구,521,구포3동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
301,320,북구,521,구포3동,구포가압장,가압장,7.09,0.11,0.22,-,-,정상
302,320,북구,521,구포3동,구포2배수지,배수지,7.09,0.11,0.22,-,-,정상
303,320,북구,520,구포2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
304,320,북구,520,구포2동,구포2동,블록,7.11,0.15,0.38,264.40,29.30,정상
305,320,북구,510,구포1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
306,290,남구,710,문현4동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
308,290,남구,700,문현3동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
309,290,남구,700,문현3동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
310,290,남구,700,문현3동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
311,290,남구,700,문현3동,문현배수지,배수지,7.00,0.07,0.23,273.34,30.41,정상
312,290,남구,690,문현2동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
313,290,남구,690,문현2동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
314,290,남구,690,문현2동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
315,290,남구,690,문현2동,문현배수지,배수지,7.00,0.07,0.23,273.34,30.41,정상
316,290,남구,680,문현1동,덕산정수장,정수장,6.70,0.12,1.04,-,-,정상
317,290,남구,680,문현1동,사상가압장(신설),가압장,7.13,0.10,0.73,239.27,28.95,정상
318,290,남구,680,문현1동,전포2배수지,배수지,7.15,0.09,0.55,283.56,28.21,정상
319,290,남구,680,문현1동,문현배수지,배수지,7.00,0.07,0.23,273.34,30.41,정상
320,290,남구,650,우암2동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
322,290,남구,645,우암동,화명정수장,정수장,6.96,0.19,0.73,-,-,정상
324,290,남구,645,우암동,감만배수지,배수지,7.29,0.17,0.39,-,-,정상
