,siguCd,siguNm,dongCd,dongNm,orgAreaNm,gb,ph,td,jy,ec,tp,sopCheck
252,350,해운대구,553,좌3동,좌3동,블록,7.19,0.14,0.21,219.33,30.60,정상
253,350,해운대구,552,좌2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
254,350,해운대구,552,좌2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
255,350,해운대구,551,좌1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
256,350,해운대구,551,좌1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
257,350,해운대구,551,좌1동,좌1동,블록,7.09,0.14,0.21,197.51,29.50,정상
258,350,해운대구,540,중2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
259,350,해운대구,540,중2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
260,350,해운대구,540,중2동,중동배수지,배수지,7.29,점검중,0.16,335.49,29.14,정상
261,350,해운대구,540,중2동,중2동,블록,7.07,0.17,0.28,288.57,29.94,정상
262,350,해운대구,530,중1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
263,350,해운대구,530,중1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
264,350,해운대구,530,중1동,중1동,블록,6.79,0.15,0.39,-,-,정상
265,350,해운대구,520,우2동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
266,350,해운대구,520,우2동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
267,350,해운대구,510,우1동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
268,350,해운대구,510,우1동,덕천가압장,가압장,7.38,0.13,0.60,280.94,29.80,정상
269,350,해운대구,510,우1동,우1동,블록,6.79,0.15,0.39,-,-,정상
270,320,북구,573,만덕3동,화명정수장,정수장,6.97,0.13,0.73,-,-,정상
271,320,북구,573,만덕3동,만덕1배수지,배수지,7.77,0.11,0.30,290.50,27.85,정상
